stimulus type,image,trial type,correct_ans,expr_onset
FACES,FC_005_M3.png,non-target,2,0
FACES,FC_082_F41.png,non-target,2,2.5
FACES,FC_072_F36.png,non-target,2,5
FACES,FC_084_F42.png,non-target,2,7.5
FACES,FC_025_M13.png,non-target,2,10
FACES,FC_056_F28.png,non-target,2,12.5
FACES,FC_088_F44.png,non-target,2,15
FACES,FC_030_F15.png,non-target,2,17.5
FACES,FC_088_F44.png,target,1,20
FACES,FC_003_M2.png,non-target,2,22.5
FACES,FC_030_F15.png,target-lure,2,25
FACES,FC_091_M46.png,non-target,2,27.5
FACES,FC_044_F22.png,non-target,2,30
FACES,FC_003_M2.png,target-lure,2,32.5
FACES,FC_044_F22.png,target,1,35
FACES,FC_049_M25.png,non-target,2,37.5
FACES,FC_031_M16.png,non-target,2,40
FACES,FC_073_M37.png,non-target,2,42.5
FACES,FC_096_F48.png,non-target,2,45
FACES,FC_031_M16.png,target-lure,2,47.5
FACES,FC_042_F21.png,non-target,2,50
FACES,FC_064_F32.png,non-target,2,52.5
FACES,FC_068_F34.png,non-target,2,55
FACES,FC_064_F32.png,target,1,57.5
FACES,FC_011_M6.png,non-target,2,60
FACES,FC_068_F34.png,target-lure,2,62.5
FACES,FC_021_M11.png,non-target,2,65
FACES,FC_021_M11.png,target-lure,2,67.5
FACES,FC_063_M32.png,non-target,2,70
FACES,FC_069_M35.png,non-target,2,72.5
FACES,FC_063_M32.png,target,1,75
FACES,FC_069_M35.png,target,1,77.5
FACES,FC_078_F39.png,non-target,2,80
FACES,FC_083_M42.png,non-target,2,82.5
FACES,FC_079_M40.png,non-target,2,85
