METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,3895694,subject005,,,,,,,,
Time after setup,1343.322483,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,1417.812295,,,,,,,,,
Memory Task Starting,1418.53466,,,,Memory Task,1,3895694,,,
Memory Prompt Shown,1446.311951,,,,Memory Task,1,3895694,,,
Text Input Submitted,1454.299684,,,,Memory Task,1,3895694,,,
Ready Check Started,1459.31148,,,,Memory Task,1,3895694,,,
Ready Check Ended,1465.283846,,,,Memory Task,1,3895694,,,
Blank Memory Recall Period Started,1485.299468,,,,Memory Task,1,3895694,,,
Blank Memory Recall Period Ended,1486.31611,,,,Memory Task,1,3895694,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1487.340012,,,,,,,,,
ESQ,1495.710218,,Absorption_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1515.662125,,Absorption_response,6.5,Experience Sampling Questions,1,3895694,,Marker Started at 7,Memory Task
ESQ,1515.663337,,Other_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1534.511759,,Other_response,2,Experience Sampling Questions,1,3895694,,Marker Started at 2,Memory Task
ESQ,1534.512921,,Problem_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1540.628689,,Problem_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 9,Memory Task
ESQ,1540.629839,,Modality_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1551.460843,,Modality_response,4.2,Experience Sampling Questions,1,3895694,,Marker Started at 3,Memory Task
ESQ,1551.461469,,Past_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1555.461223,,Past_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 6,Memory Task
ESQ,1555.461561,,Distracting_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1560.511024,,Distracting_response,3.4,Experience Sampling Questions,1,3895694,,Marker Started at 8,Memory Task
ESQ,1560.512176,,Focus_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1568.795459,,Focus_response,3.1,Experience Sampling Questions,1,3895694,,Marker Started at 5,Memory Task
ESQ,1568.796638,,Intrusive_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1573.777082,,Intrusive_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 9,Memory Task
ESQ,1573.778219,,Deliberate_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1586.360508,,Deliberate_response,7.3,Experience Sampling Questions,1,3895694,,Marker Started at 9,Memory Task
ESQ,1586.361684,,Detailed_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1592.509961,,Detailed_response,8.3,Experience Sampling Questions,1,3895694,,Marker Started at 2,Memory Task
ESQ,1592.51114,,Future_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1596.627153,,Future_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 3,Memory Task
ESQ,1596.62828,,Emotion_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1601.693572,,Emotion_response,9.2,Experience Sampling Questions,1,3895694,,Marker Started at 6,Memory Task
ESQ,1601.694707,,Self_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1606.777015,,Self_response,8.7,Experience Sampling Questions,1,3895694,,Marker Started at 7,Memory Task
ESQ,1606.77745,,Knowledge_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1614.542865,,Knowledge_response,8.4,Experience Sampling Questions,1,3895694,,Marker Started at 10,Memory Task
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,1614.562168,,,,,,,,,
Memory Task Starting,1614.946195,,,,Memory Task,1,3895694,,,
Memory Prompt Shown,1624.391061,,,,Memory Task,1,3895694,,,
Text Input Submitted,1631.361724,,,,Memory Task,1,3895694,,,
Ready Check Started,1636.374896,,,,Memory Task,1,3895694,,,
Ready Check Ended,1639.394048,,,,Memory Task,1,3895694,,,
Blank Memory Recall Period Started,1659.409545,,,,Memory Task,1,3895694,,,
Blank Memory Recall Period Ended,1660.426264,,,,Memory Task,1,3895694,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1661.445526,,,,,,,,,
ESQ,1663.536328,,Emotion_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1674.624604,,Emotion_response,9.1,Experience Sampling Questions,1,3895694,,Marker Started at 10,Memory Task
ESQ,1674.625867,,Deliberate_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1694.341337,,Deliberate_response,7.1,Experience Sampling Questions,1,3895694,,Marker Started at 2,Memory Task
ESQ,1694.341742,,Distracting_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1737.27346,,Distracting_response,6.7,Experience Sampling Questions,1,3895694,,Marker Started at 4,Memory Task
ESQ,1737.274661,,Detailed_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1740.989115,,Detailed_response,8,Experience Sampling Questions,1,3895694,,Marker Started at 8,Memory Task
ESQ,1740.990261,,Knowledge_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1746.039388,,Knowledge_response,2,Experience Sampling Questions,1,3895694,,Marker Started at 4,Memory Task
ESQ,1746.040615,,Modality_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1750.521885,,Modality_response,3.6,Experience Sampling Questions,1,3895694,,Marker Started at 9,Memory Task
ESQ,1750.523109,,Self_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1755.006329,,Self_response,3,Experience Sampling Questions,1,3895694,,Marker Started at 3,Memory Task
ESQ,1755.007486,,Problem_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1760.271782,,Problem_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 9,Memory Task
ESQ,1760.272919,,Past_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1764.687771,,Past_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 3,Memory Task
ESQ,1764.688886,,Absorption_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1768.955656,,Absorption_response,7.3,Experience Sampling Questions,1,3895694,,Marker Started at 10,Memory Task
ESQ,1768.956805,,Future_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1773.32118,,Future_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 3,Memory Task
ESQ,1773.322294,,Other_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1779.370868,,Other_response,8.7,Experience Sampling Questions,1,3895694,,Marker Started at 6,Memory Task
ESQ,1779.37141,,Focus_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1794.02115,,Focus_response,7.5,Experience Sampling Questions,1,3895694,,Marker Started at 2,Memory Task
ESQ,1794.022138,,Intrusive_start,,Experience Sampling Questions,1,3895694,,,Memory Task
ESQ,1797.371661,,Intrusive_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 3,Memory Task
EXPERIMENT DATA:,Reading Task,,,,,,,,,
Start Time,1797.397161,,,,,,,,,
Reading start,1797.404604,,,,Reading Task,1,3895694,,,
Reading trial start,1803.94273,,,,Reading Task,1,3895694,,"['In many', 'cases,', 'stains', 'are', 'affected', 'by heat', 'and may', 'become', 'reactive', 'enough', 'to', 'bond', 'with the', 'underlying', 'material.']",
Reading trial ended,1818.502483,,,,Reading Task,1,3895694,,,
Reading trial start,1818.521839,,,,Reading Task,1,3895694,,"['Lobsters', 'are', 'omnivores', 'and typically', 'eat', 'live', 'prey', 'such as', 'fish,', 'molluscs,', 'other', 'crustaceans,', 'worms,', 'and some', 'plants.']",
Reading trial ended,1833.085778,,,,Reading Task,1,3895694,,,
Reading trial start,1833.098598,,,,Reading Task,1,3895694,,"['Clock', 'is', 'one of', 'the oldest', 'human', 'inventions,', 'meeting', 'the need', 'to', 'measure', 'intervals', 'of time', 'shorter', 'than', 'a day.']",
Reading trial ended,1847.652188,,,,Reading Task,1,3895694,,,
Reading trial start,1847.670259,,,,Reading Task,1,3895694,,"['Pigment', 'inks', 'are used', 'more', 'frequently', 'than dyes', 'because', 'they', 'transfer', 'colour', 'more quickly,', 'but they', 'are less', 'consistent', 'in colour.']",
Reading trial ended,1862.234979,,,,Reading Task,1,3895694,,,
Reading trial start,1862.264585,,,,Reading Task,1,3895694,,"['All', 'mammals', 'have', 'some hair', 'on their', 'skin,', 'even marine', 'mammals', 'like', 'whales and', 'dolphins,', 'which', 'appear', 'to be', 'hairless.']",
Reading trial ended,1876.817618,,,,Reading Task,1,3895694,,,
Reading trial start,1876.836328,,,,Reading Task,1,3895694,,"['The body', 'size of', 'snakes', 'has a major', 'influence', 'on their', 'eating', 'habits,', 'with large', 'pythons', 'being', 'able to', 'tackle', 'small', 'deer.']",
Reading trial ended,1891.400612,,,,Reading Task,1,3895694,,,
Reading trial start,1891.419596,,,,Reading Task,1,3895694,,"['Bullets', 'are', 'made in', 'a large', 'number of', 'shapes', 'and', 'materials', 'depending on', 'the intended', 'application,', 'such as', 'hunting', 'and', 'training.']",
Reading trial ended,1905.983035,,,,Reading Task,1,3895694,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1905.984332,,,,,,,,,
ESQ,1911.695562,,Emotion_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1921.83409,,Emotion_response,5,Experience Sampling Questions,1,3895694,,Marker Started at 8,Reading Task
ESQ,1921.835273,,Absorption_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1929.132529,,Absorption_response,8.5,Experience Sampling Questions,1,3895694,,Marker Started at 7,Reading Task
ESQ,1929.133729,,Modality_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1937.684208,,Modality_response,9.2,Experience Sampling Questions,1,3895694,,Marker Started at 5,Reading Task
ESQ,1937.685468,,Self_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1942.04974,,Self_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 6,Reading Task
ESQ,1942.050889,,Distracting_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1949.93248,,Distracting_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 6,Reading Task
ESQ,1949.932863,,Deliberate_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1958.18308,,Deliberate_response,9,Experience Sampling Questions,1,3895694,,Marker Started at 7,Reading Task
ESQ,1958.184237,,Knowledge_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1962.999769,,Knowledge_response,1.9,Experience Sampling Questions,1,3895694,,Marker Started at 8,Reading Task
ESQ,1963.000898,,Detailed_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1967.415846,,Detailed_response,9.2,Experience Sampling Questions,1,3895694,,Marker Started at 3,Reading Task
ESQ,1967.416992,,Other_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1971.26547,,Other_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 7,Reading Task
ESQ,1971.266671,,Past_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1975.69893,,Past_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 10,Reading Task
ESQ,1975.700052,,Intrusive_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1979.348292,,Intrusive_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 5,Reading Task
ESQ,1979.349427,,Future_start,,Experience Sampling Questions,1,3895694,,,Reading Task
