METADATA:
Block Runtime,Experiment Seed,Subject
15,3467521,Enter Name Here
Time after setup,3.707199499996932
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-9
EXPERIMENT DATA:,Movie Task
Start Time,6.733205099997576
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,18.900915199999872
ESQ,61.22456489999968,,Words_response,5.0,Experience Sampling Questions,1,3467521,,Marker Started at 5,Movie Task
 
Runtime Mod,-10
