METADATA:
Block Runtime,Experiment Seed,Subject
90,4056848,subject027
Time after setup,862.4288535000524
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Zero-Back Task
Start Time,920.2343104999745
0-Back Start,920.2343486000318,,,,Zero-Back Task,1,4056848,,,
NoGoStimulus Start,956.7644148999825,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,957.9604295999743,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,959.7471441000234,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,961.0104649000568,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,963.4108550000237,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,964.0603586999932,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,965.9789069000399,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,967.1100953000132,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
ZeroBackStimulus Start,968.2416254000273,,,,Zero-Back Task,1,4056848,,ZeroBack,
ZeroBackStimulus End,968.6272952000145,False,,,Zero-Back Task,1,4056848,left,ZeroBack,
NoGoStimulus Start,975.4956256999867,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,976.2264623000519,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,978.6410625000717,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,979.2926746000303,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,981.127869799966,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,982.3429502999643,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,984.7456939000404,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,985.392515799962,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,986.937564300024,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,988.4440013000276,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,990.064572500065,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,991.4926107999636,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
ZeroBackStimulus Start,993.6459376000566,,,,Zero-Back Task,1,4056848,,ZeroBack,
ZeroBackStimulus End,994.4096849999623,False,,,Zero-Back Task,1,4056848,left,ZeroBack,
NoGoStimulus Start,999.4378921999596,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1000.6269496000605,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1002.7160971000558,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1003.6757422999945,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1005.8797221999848,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1006.7249246999854,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1008.8992310999893,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1009.7753096000524,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1011.6014941000612,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1012.8263980000047,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1015.220970400027,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1015.892394799972,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
ZeroBackStimulus Start,1017.9474075000035,,,,Zero-Back Task,1,4056848,,ZeroBack,
ZeroBackStimulus End,1018.2926866000053,False,,,Zero-Back Task,1,4056848,right,ZeroBack,
NoGoStimulus Start,1023.5276775000384,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1025.0088433000492,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1026.6460828999989,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1028.0580098000355,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1030.27579590003,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1031.1086542999838,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1032.758635599981,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1034.1580841999967,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1036.3561609999742,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1037.224620699999,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1039.601183700026,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1040.2754771000473,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
ZeroBackStimulus Start,1042.5969152000034,,,,Zero-Back Task,1,4056848,,ZeroBack,
ZeroBackStimulus End,1043.1580655999715,False,,,Zero-Back Task,1,4056848,left,ZeroBack,
NoGoStimulus Start,1048.7490527000045,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1049.390320400009,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1051.5821277999785,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1052.4406912999693,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
NoGoStimulus Start,1054.1966882999986,,,,Zero-Back Task,1,4056848,,ZeroBack,
NoGoStimulus End,1055.4901829999872,True,,,Zero-Back Task,1,4056848,None,ZeroBack,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1055.510530199972
ESQ,1059.6635551999789,,Knowledge_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
ESQ,1075.1725545000518,,Knowledge_response,7.600000000000005,Experience Sampling Questions,1,4056848,,Marker Started at 9,Zero-Back Task
ESQ,1075.1728832999943,,Self_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
ESQ,1076.322862299974,,Self_response,6.0,Experience Sampling Questions,1,4056848,,Marker Started at 6,Zero-Back Task
ESQ,1076.3240695999702,,Focus_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
ESQ,1081.9908832999645,,Focus_response,1.0,Experience Sampling Questions,1,4056848,,Marker Started at 5,Zero-Back Task
ESQ,1081.991287300014,,Absorption_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
ESQ,1083.0228421000065,,Absorption_response,6.0,Experience Sampling Questions,1,4056848,,Marker Started at 6,Zero-Back Task
ESQ,1083.0239746000152,,Other_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
ESQ,1086.6399917000672,,Other_response,7.799999999999994,Experience Sampling Questions,1,4056848,,Marker Started at 6,Zero-Back Task
ESQ,1086.6411910000024,,Problem_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
ESQ,1091.3059500000672,,Problem_response,8.9,Experience Sampling Questions,1,4056848,,Marker Started at 9,Zero-Back Task
ESQ,1091.307108100038,,Past_start,,Experience Sampling Questions,1,4056848,,,Zero-Back Task
