METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8728008,subject008,,,,,,,,
Time after setup,6.6894616,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Zero-Back Task,,,,,,,,,
Start Time,38.0809201,,,,,,,,,
0-Back Start,38.0809603,,,,Zero-Back Task,1,8728008,,,
NoGoStimulus Start,105.8717464,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,107.1225155,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,109.5365818,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,110.18852,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,111.9594656,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,113.2386112,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
ZeroBackStimulus Start,115.5197993,,,,Zero-Back Task,1,8728008,,ZeroBack,
ZeroBackStimulus End,116.4382303,TRUE,,,Zero-Back Task,1,8728008,right,ZeroBack,
NoGoStimulus Start,121.2891189,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,122.354927,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,124.7224366,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,125.4046978,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,127.7593522,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,128.4546835,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
ZeroBackStimulus Start,130.275588,,,,Zero-Back Task,1,8728008,,ZeroBack,
ZeroBackStimulus End,130.7715934,TRUE,,,Zero-Back Task,1,8728008,left,ZeroBack,
NoGoStimulus Start,136.2179624,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,137.6040671,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,140.0505346,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,140.6707722,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,142.8205805,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,143.7209226,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,145.7682398,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,146.7873068,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
ZeroBackStimulus Start,148.2161224,,,,Zero-Back Task,1,8728008,,ZeroBack,
ZeroBackStimulus End,148.6546309,TRUE,,,Zero-Back Task,1,8728008,left,ZeroBack,
NoGoStimulus Start,154.5048583,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,155.8872841,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,158.176918,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,158.9368889,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,161.2262841,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,161.9871744,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,164.4824962,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,165.037786,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,166.6700735,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,168.086611,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,170.3968972,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,171.1377845,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
ZeroBackStimulus Start,172.5620547,,,,Zero-Back Task,1,8728008,,ZeroBack,
ZeroBackStimulus End,172.9885266,TRUE,,,Zero-Back Task,1,8728008,left,ZeroBack,
NoGoStimulus Start,178.7691045,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,180.2531673,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,182.0790713,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,183.3030258,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,185.5024607,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,186.3528433,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
NoGoStimulus Start,188.485691,,,,Zero-Back Task,1,8728008,,ZeroBack,
NoGoStimulus End,189.4028766,TRUE,,,Zero-Back Task,1,8728008,None,ZeroBack,
ZeroBackStimulus Start,191.1314343,,,,Zero-Back Task,1,8728008,,ZeroBack,
ZeroBackStimulus End,191.5862728,TRUE,,,Zero-Back Task,1,8728008,left,ZeroBack,
NoGoStimulus Start,197.6604207,,,,Zero-Back Task,1,8728008,,ZeroBack,
