METADATA:
Block Runtime,Experiment Seed,Subject
15,4539281,Enter Name Here
Time after setup,5.700244900013786
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Two-Back Task
Start Time,8.965000099997269
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,17.780363900004886
ESQ,22.14509299999918,,Future_response,9.0,Experience Sampling Questions,1,4539281,,Marker Started at 9,Two-Back Task
 
Runtime Mod,15
