METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8082915,subject003,,,,,,,,
Time after setup,1097.433991,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Finger Tapping Task,,,,,,,,,
Start Time,1120.956373,,,,,,,,,
Finger Tapping Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Block Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Block Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Block Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial Start,,,,,Finger Tapping Task,1,8082915,,,
Finger Tapping Trial End,,TRUE,,,Finger Tapping Task,1,8082915,,,
