METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,5216479,subject006,,,,,,,,
Time after setup,6.6004562,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,One-Back Task,,,,,,,,,
Start Time,70.9170685,,,,,,,,,
0-Back Start,70.9171052,,,,One-Back Task,1,5216479,,,
NoGoStimulus Start,183.8958452,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,185.366381,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,186.9370527,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,188.4162971,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,190.367228,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,191.4656161,TRUE,,,One-Back Task,1,5216479,None,OneBack,
OneBackStimulus Start,193.1916286,,,,One-Back Task,1,5216479,,OneBack,
OneBackStimulus End,197.4989094,FALSE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,199.8620957,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,200.5666714,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,202.28848,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,203.6156605,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,206.1413683,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,206.6670505,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,208.9776412,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,209.7166087,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,211.930679,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,212.7655809,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,214.8271014,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,215.8164183,TRUE,,,One-Back Task,1,5216479,None,OneBack,
OneBackStimulus Start,217.4541152,,,,One-Back Task,1,5216479,,OneBack,
OneBackStimulus End,219.4649218,TRUE,,,One-Back Task,1,5216479,right,OneBack,
NoGoStimulus Start,224.1431938,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,224.9161198,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,227.3759304,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,227.9657448,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,230.3549842,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,231.0149175,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,233.242533,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,234.065769,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,236.0871476,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,237.114761,TRUE,,,One-Back Task,1,5216479,None,OneBack,
OneBackStimulus Start,239.5677814,,,,One-Back Task,1,5216479,,OneBack,
OneBackStimulus End,241.1975398,TRUE,,,One-Back Task,1,5216479,left,OneBack,
NoGoStimulus Start,245.4550582,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,246.2313521,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,248.6841555,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,249.2809458,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,251.3670246,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,252.3304627,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,254.7842425,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,255.3808747,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,257.7850756,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,258.4315469,TRUE,,,One-Back Task,1,5216479,None,OneBack,
NoGoStimulus Start,260.7340026,,,,One-Back Task,1,5216479,,OneBack,
NoGoStimulus End,261.4805218,TRUE,,,One-Back Task,1,5216479,None,OneBack,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,261.5060094,,,,,,,,,
ESQ,271.2593764,,Problem_start,,Experience Sampling Questions,1,5216479,,,One-Back Task
ESQ,282.53057,,Problem_response,8,Experience Sampling Questions,1,5216479,,Marker Started at 5,One-Back Task
ESQ,282.5308738,,Absorption_start,,Experience Sampling Questions,1,5216479,,,One-Back Task
ESQ,283.9804121,,Absorption_response,9,Experience Sampling Questions,1,5216479,,Marker Started at 9,One-Back Task
ESQ,283.9815777,,Emotion_start,,Experience Sampling Questions,1,5216479,,,One-Back Task
ESQ,295.8298543,,Emotion_response,5,Experience Sampling Questions,1,5216479,,Marker Started at 2,One-Back Task
ESQ,295.8310889,,Distracting_start,,Experience Sampling Questions,1,5216479,,,One-Back Task
ESQ,308.7298059,,Distracting_response,2.6,Experience Sampling Questions,1,5216479,,Marker Started at 8,One-Back Task
