METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,5644637,subject007,,,,,,,,
Time after setup,2312.843186,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,2372.692531,,,,,,,,,
Movie Task Start,2372.692579,,,,Movie Task,1,5644637,,,
Movie Init,2404.792966,,,,Movie Task,1,5644637,,,
Movie Start,2404.793062,,,,Movie Task,1,5644637,,,
Movie End,2539.202681,,,,Movie Task,1,5644637,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2539.214365,,,,,,,,,
ESQ,2544.634354,,Future_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2560.219201,,Future_response,5.9,Experience Sampling Questions,1,5644637,,Marker Started at 4,Movie Task
ESQ,2560.220242,,Emotion_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2568.336016,,Emotion_response,7.1,Experience Sampling Questions,1,5644637,,Marker Started at 2,Movie Task
ESQ,2568.336954,,Absorption_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2574.386128,,Absorption_response,4.4,Experience Sampling Questions,1,5644637,,Marker Started at 2,Movie Task
ESQ,2574.387154,,Intrusive_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2579.985078,,Intrusive_response,7,Experience Sampling Questions,1,5644637,,Marker Started at 7,Movie Task
ESQ,2579.986042,,Self_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2587.335711,,Self_response,5.4,Experience Sampling Questions,1,5644637,,Marker Started at 8,Movie Task
ESQ,2587.336642,,Focus_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2593.735155,,Focus_response,6.5,Experience Sampling Questions,1,5644637,,Marker Started at 7,Movie Task
ESQ,2593.736143,,Past_start,,Experience Sampling Questions,1,5644637,,,Movie Task
ESQ,2598.10185,,Past_response,2,Experience Sampling Questions,1,5644637,,Marker Started at 3,Movie Task
ESQ,2598.102863,,Other_start,,Experience Sampling Questions,1,5644637,,,Movie Task
