METADATA:
Block Runtime,Experiment Seed,Subject
15,2994384,Enter Name Here
Time after setup,68.73355939999601
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-12
EXPERIMENT DATA:,Movie Task
Start Time,72.22742329999892
ESQ,155.0196952999977,,Emotion_response,10.0,Movie Task,1,2994384,,Marker Started at 10,
