METADATA:
Block Runtime,Experiment Seed,Subject
15,6055156,Enter Name Here
Time after setup,1.007559500001662
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Start Time,6.341997800001991
2-back Task Start,1.6133635999976832,,,,Two-Back Task,1,6055156,,,
fixation cross,1.6442650999997568,,,,Two-Back Task,1,6055156,,,
2-back Trial Start,3.6964073999988614,,,,Two-Back Task,1,6055156,,,
Choice presented,3.696447199999966,,,,Two-Back Task,1,6055156,,,
Choice made,7.7114122999992105,,,,Two-Back Task,1,6055156,,,
2-back Trial End,7.711466000000655,False,,,Two-Back Task,1,6055156,,,
2-back Trial Start,9.78058239999882,,,,Two-Back Task,1,6055156,,,
Choice presented,9.780614100000093,,,,Two-Back Task,1,6055156,,,
Choice made,13.795369100000244,,,,Two-Back Task,1,6055156,,,
2-back Trial End,13.795421299997543,False,,,Two-Back Task,1,6055156,,,
2-back Trial Start,15.859139899999718,,,,Two-Back Task,1,6055156,,,
Choice presented,15.859176099998876,,,,Two-Back Task,1,6055156,,,
Choice made,19.871072800000547,,,,Two-Back Task,1,6055156,,,
2-back Trial End,19.8711278999981,False,,,Two-Back Task,1,6055156,,,
2-back Trial Start,21.921260600000096,,,,Two-Back Task,1,6055156,,,
Choice presented,21.921295799998916,,,,Two-Back Task,1,6055156,,,
Choice made,25.9334323999974,,,,Two-Back Task,1,6055156,,,
2-back Trial End,25.933480899999267,False,,,Two-Back Task,1,6055156,,,
2-back Task End,27.9444782999999,,,,Two-Back Task,1,6055156,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,34.30354390000139
