METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,4920560,subject002,,,,,,,,
Time after setup,1203.743659,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Easy Math Task,,,,,,,,,
Start Time,1225.375266,,,,,,,,,
Math Task Start,21.2029522,,,,Easy Math Task,1,4920560,,,
fixation cross,21.2210953,,,,Easy Math Task,1,4920560,,,
Math Trial Start,23.2604841,,,,Easy Math Task,1,4920560,,,
Choice presented,23.2805855,,,,Easy Math Task,1,4920560,,,
Choice made,25.3454073,,,,Easy Math Task,1,4920560,,,
Math Trial End,25.3455097,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,25.3455604,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,27.3882608,,,,Easy Math Task,1,4920560,,,
Choice presented,27.4036837,,,,Easy Math Task,1,4920560,,,
Choice made,29.2613599,,,,Easy Math Task,1,4920560,,,
Math Trial End,29.2613921,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,29.2614063,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,31.2935279,,,,Easy Math Task,1,4920560,,,
Choice presented,31.3134013,,,,Easy Math Task,1,4920560,,,
Choice made,34.2278614,,,,Easy Math Task,1,4920560,,,
Math Trial End,34.227903,FALSE,,,Easy Math Task,1,4920560,,,
Math Trial Start,36.2554999,,,,Easy Math Task,1,4920560,,,
Choice presented,36.2624315,,,,Easy Math Task,1,4920560,,,
Choice made,38.1282805,,,,Easy Math Task,1,4920560,,,
Math Trial End,38.1283683,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,38.1284145,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,40.1579805,,,,Easy Math Task,1,4920560,,,
Choice presented,40.1633998,,,,Easy Math Task,1,4920560,,,
Choice made,42.0446172,,,,Easy Math Task,1,4920560,,,
Math Trial End,42.0446583,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,42.0446744,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,44.0743702,,,,Easy Math Task,1,4920560,,,
Choice presented,44.0797903,,,,Easy Math Task,1,4920560,,,
Choice made,45.9440101,,,,Easy Math Task,1,4920560,,,
Math Trial End,45.9440448,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,45.9440591,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,47.9707425,,,,Easy Math Task,1,4920560,,,
Choice presented,47.9799442,,,,Easy Math Task,1,4920560,,,
Choice made,49.7945848,,,,Easy Math Task,1,4920560,,,
Math Trial End,49.7946808,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,49.7947304,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,51.8242957,,,,Easy Math Task,1,4920560,,,
Choice presented,51.8295458,,,,Easy Math Task,1,4920560,,,
Choice made,53.6941373,,,,Easy Math Task,1,4920560,,,
Math Trial End,53.6941785,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,53.6941963,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,55.7248917,,,,Easy Math Task,1,4920560,,,
Choice presented,55.7293913,,,,Easy Math Task,1,4920560,,,
Choice made,57.5944283,,,,Easy Math Task,1,4920560,,,
Math Trial End,57.5945333,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial End,57.5945871,TRUE,,,Easy Math Task,1,4920560,,,
Math Trial Start,59.6240453,,,,Easy Math Task,1,4920560,,,
Choice presented,59.6292047,,,,Easy Math Task,1,4920560,,,
Choice made,61.510257,,,,Easy Math Task,1,4920560,,,
