METADATA:
Experiment Seed,Subject
7257139,Subject034
Time after setup,26.261700299975928
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Choice presented,173.76829580002232,,,,Two-Back Task,1,Subject034,,faces,
Choice made,174.6424837000086,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,174.64252400002442,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,176.69224359997315,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,176.69227030000184,,,,Two-Back Task,1,Subject034,,faces,
Choice made,177.87841200002003,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,177.87845339998603,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,179.9392896000063,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,179.93931759998668,,,,Two-Back Task,1,Subject034,,faces,
Choice made,180.96417250001105,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,180.9642125000246,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,183.02261430001818,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,183.0226418999955,,,,Two-Back Task,1,Subject034,,faces,
Choice made,184.13336320000235,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,184.13340460002655,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,186.17874449997908,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,186.1787703000009,,,,Two-Back Task,1,Subject034,,faces,
Choice made,186.85228220000863,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,186.85233030002564,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,188.91366139997263,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,188.91369180002948,,,,Two-Back Task,1,Subject034,,faces,
Choice made,189.7377708000131,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,189.73781800002325,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,191.79900629998883,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,191.79903320001904,,,,Two-Back Task,1,Subject034,,faces,
Choice made,192.7734977999935,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,192.77354889997514,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,194.83057649998227,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,194.83060430001933,,,,Two-Back Task,1,Subject034,,faces,
Choice made,195.94266280002194,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,195.94950809999136,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,198.00058900000295,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,198.00061589997495,,,,Two-Back Task,1,Subject034,,faces,
