METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,500.5957304,,Future_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 4,Movie Task
ESQ,500.5960241,,Problem_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,504.9617364,,Problem_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 10,Movie Task
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,509.8102213,,,,,,,,,
Memory Task Starting,510.5612457,,,,Memory Task,1,8707290,,,
Memory Prompt Shown,530.5751015,,,,Memory Task,1,8707290,,,
Text Input Submitted,538.9979027,,,,Memory Task,1,8707290,,,
Ready Check Started,543.0148104,,,,Memory Task,1,8707290,,,
Ready Check Ended,546.9621992,,,,Memory Task,1,8707290,,,
Blank Memory Recall Period Started,566.9785336,,,,Memory Task,1,8707290,,,
Blank Memory Recall Period Ended,567.9953227,,,,Memory Task,1,8707290,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,569.0111238,,,,,,,,,
ESQ,573.8062928,,Deliberate_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,577.5927762,,Deliberate_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 5,Memory Task
ESQ,577.5938119,,Past_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,581.158682,,Past_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 5,Memory Task
ESQ,581.1598656,,Detailed_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,584.0754353,,Detailed_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 7,Memory Task
ESQ,584.0762385,,Distracting_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,587.3424742,,Distracting_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 2,Memory Task
ESQ,587.3436132,,Problem_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,590.7919778,,Problem_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 3,Memory Task
ESQ,590.7930976,,Future_start,,Experience Sampling Questions,1,8707290,,,Memory Task
