stimulus type,image,trial type,correct_ans,expr_onset
FACES,FC_096_F48.png,non-target,2,0
FACES,FC_029_M15.png,non-target,2,2.5
FACES,FC_078_F39.png,non-target,2,5
FACES,FC_070_F35.png,non-target,2,7.5
FACES,FC_078_F39.png,target,1,10
FACES,FC_094_F47.png,non-target,2,12.5
FACES,FC_060_F30.png,non-target,2,15
FACES,FC_011_M6.png,non-target,2,17.5
FACES,FC_091_M46.png,non-target,2,20
FACES,FC_060_F30.png,target-lure,2,22.5
FACES,FC_091_M46.png,target,1,25
FACES,FC_093_M47.png,non-target,2,27.5
FACES,FC_093_M47.png,target-lure,2,30
FACES,FC_097_M97.png,non-target,2,32.5
FACES,FC_041_M21.png,non-target,2,35
FACES,FC_049_M25.png,non-target,2,37.5
FACES,FC_049_M25.png,target-lure,2,40
FACES,FC_056_F28.png,non-target,2,42.5
FACES,FC_037_M19.png,non-target,2,45
FACES,FC_056_F28.png,target,1,47.5
FACES,FC_043_M22.png,non-target,2,50
FACES,FC_064_F32.png,non-target,2,52.5
FACES,FC_065_M33.png,non-target,2,55
FACES,FC_002_F1.png,non-target,2,57.5
FACES,FC_064_F32.png,target-lure,2,60
FACES,FC_100_F101.png,non-target,2,62.5
FACES,FC_003_M2.png,non-target,2,65
FACES,FC_019_M10.png,non-target,2,67.5
FACES,FC_050_F25.png,non-target,2,70
FACES,FC_019_M10.png,target,1,72.5
FACES,FC_034_F17.png,non-target,2,75
FACES,FC_044_F22.png,non-target,2,77.5
FACES,FC_075_M38.png,non-target,2,80
FACES,FC_044_F22.png,target,1,82.5
FACES,FC_034_F17.png,target-lure,2,85
