Prompt
party
door
grass
popcorn
hotel
airport
table
umbrella
butterfly
salad
body
book
city
car
tool
picture
butter
college
toast
pepper
chair
paper
nail
ticket
diamond
kitchen
relative
instrument
street
basket
meat
decoration
flower
dog
bowl
coin
