Prompt
bottle
grass
umbrella
instrument
fireplace
refrigerator
dog
door
diamond
strawberry
mountain
party
salad
tablespoon
sunset
relative
car
body
pepper
candy
house
bowl
dress
lecture
paper
restaurant
basket
hammer
tree
wine
lime
arm
gift
kiss
potato
toast
street
stone
airport
butterfly
oven
railway
popcorn
baby
book
city
hug
slipper
