stimulus type,image,trial type,correct_ans,expr_onset
SCENES2,PL_084_O2.1.png,non-target,2,0
SCENES2,PL_087_O38.1.png,non-target,2,2.5
SCENES2,PL_065_P0.1.png,non-target,2,5
SCENES2,PL_019_SCENE_05.png,non-target,2,7.5
SCENES2,PL_065_P0.1.png,target,1,10
SCENES2,PL_082_O11.1.png,non-target,2,12.5
SCENES2,PL_016_SCENE_02.png,non-target,2,15
SCENES2,PL_066_P32.1.png,non-target,2,17.5
SCENES2,PL_017_SCENE_03.png,non-target,2,20
SCENES2,PL_074_P60.1.png,non-target,2,22.5
SCENES2,PL_017_SCENE_03.png,target,1,25
SCENES2,PL_099_O81.1.png,non-target,2,27.5
SCENES2,PL_021_SCENE_07.png,non-target,2,30
SCENES2,PL_021_SCENE_07.png,target-lure,2,32.5
SCENES2,PL_099_O81.1.png,target-lure,2,35
SCENES2,PL_026_SCENE_24.png,non-target,2,37.5
SCENES2,PL_080_O1.1.png,non-target,2,40
SCENES2,PL_026_SCENE_24.png,target,1,42.5
SCENES2,PL_080_O1.1.png,target,1,45
SCENES2,PL_022_SCENE_08.png,non-target,2,47.5
SCENES2,PL_085_O3.1.png,non-target,2,50
SCENES2,PL_094_O6.1.png,non-target,2,52.5
SCENES2,PL_077_P70.1.png,non-target,2,55
SCENES2,PL_075_P63.1.png,non-target,2,57.5
SCENES2,PL_023_SCENE_09.png,non-target,2,60
SCENES2,PL_023_SCENE_09.png,target-lure,2,62.5
SCENES2,PL_075_P63.1.png,target-lure,2,65
SCENES2,PL_071_P5.1.png,non-target,2,67.5
SCENES2,PL_089_O45.1.png,non-target,2,70
SCENES2,PL_086_O37.1.png,non-target,2,72.5
SCENES2,PL_089_O45.1.png,target,1,75
SCENES2,PL_079_P72.1.png,non-target,2,77.5
SCENES2,PL_067_P37.1.png,non-target,2,80
SCENES2,PL_068_P39.1.png,non-target,2,82.5
SCENES2,PL_079_P72.1.png,target-lure,2,85
