stimulus type,image,trial type,correct_ans,expr_onset
SCENES2,PL_078_P71.1.png,non-target,2,0
SCENES2,PL_016_SCENE_02.png,non-target,2,2.5
SCENES2,PL_072_P50.1.png,non-target,2,5
SCENES2,PL_029_SCENE_39.png,non-target,2,7.5
SCENES2,PL_072_P50.1.png,target,1,10
SCENES2,PL_091_O5.1.png,non-target,2,12.5
SCENES2,PL_029_SCENE_39.png,target-lure,2,15
SCENES2,PL_019_SCENE_05.png,non-target,2,17.5
SCENES2,PL_028_SCENE_35.png,non-target,2,20
SCENES2,PL_093_O57.1.png,non-target,2,22.5
SCENES2,PL_020_SCENE_06.png,non-target,2,25
SCENES2,PL_065_P0.1.png,non-target,2,27.5
SCENES2,PL_087_O38.1.png,non-target,2,30
SCENES2,PL_022_SCENE_08.png,non-target,2,32.5
SCENES2,PL_087_O38.1.png,target,1,35
SCENES2,PL_022_SCENE_08.png,target,1,37.5
SCENES2,PL_079_P72.1.png,non-target,2,40
SCENES2,PL_098_O80.1.png,non-target,2,42.5
SCENES2,PL_092_O50.1.png,non-target,2,45
SCENES2,PL_024_SCENE_10.png,non-target,2,47.5
SCENES2,PL_092_O50.1.png,target,1,50
SCENES2,PL_026_SCENE_24.png,non-target,2,52.5
SCENES2,PL_080_O1.1.png,non-target,2,55
SCENES2,PL_025_SCENE_18.png,non-target,2,57.5
SCENES2,PL_026_SCENE_24.png,target-lure,2,60
SCENES2,PL_080_O1.1.png,target-lure,2,62.5
SCENES2,PL_030_SCENE_40.png,non-target,2,65
SCENES2,PL_090_O47.1.png,non-target,2,67.5
SCENES2,PL_090_O47.1.png,target-lure,2,70
SCENES2,PL_085_O3.1.png,non-target,2,72.5
SCENES2,PL_102_O9.1.png,non-target,2,75
SCENES2,PL_085_O3.1.png,target,1,77.5
SCENES2,PL_069_P42.1.png,non-target,2,80
SCENES2,PL_077_P70.1.png,non-target,2,82.5
SCENES2,PL_077_P70.1.png,target-lure,2,85
