Prompt
college
shoes
dress
kiss
tablespoon
stone
table
popcorn
car
ticket
chair
arm
door
body
mountain
umbrella
plant
house
restaurant
grass
bowl
airport
bicycle
tree
lecture
nail
butterfly
gift
decoration
hug
slipper
cat
toast
flower
book
instrument
